date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:23	3615/3615	---MCZ	200	added ('OK')	text/css	etag:%22e1f-gpgLPZgv79YsHD9NFioZ4ePeDLA%22	https://unpkg.com/filepond-plugin-file-poster@2.5.1/dist/filepond-plugin-file-poster.css	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/unpkg.com/filepond-plugin-file-poster@2.5.1/dist/filepond-plugin-file-poster.css	(from https://uigator.com/assan/5.1/public/page-profile-settings.html)
16:16:05	184/184	---MCZ	302	error ('Found')	text/html	date:Thu,%2006%20Jul%202023%2015:16:06%20GMT	https://unpkg.com/filepond-plugin-file-poster/dist/filepond-plugin-file-poster.js	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/unpkg.com/filepond-plugin-file-poster/dist/filepond-plugin-file-poster.216.delayed	(from https://uigator.com/assan/5.1/public/page-profile-settings.html)
16:16:05	18166/18166	---MCZ	200	added ('OK')	application/javascript	etag:%2246f6-fhSJJgIdnrE17ZW3Jcacpy+eU0I%22	https://unpkg.com/filepond-plugin-file-poster@2.5.1/dist/filepond-plugin-file-poster.js	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/unpkg.com/filepond-plugin-file-poster@2.5.1/dist/filepond-plugin-file-poster.js	(from https://uigator.com/assan/5.1/public/page-profile-settings.html)
16:16:06	55/55	---MCZ	302	error ('Found')	text/plain	date:Thu,%2006%20Jul%202023%2015:16:07%20GMT	https://unpkg.com/filepond/dist/filepond.js	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/unpkg.com/filepond/dist/filepond.218.delayed	(from https://uigator.com/assan/5.1/public/page-profile-settings.html)
16:16:09	1779/1779	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2016%20Sep%202018%2019:23:02%20GMT	https://uigator.com/assan/5.1/public/assets/img/brands/GitHub.svg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/brands/GitHub.svg	(from https://uigator.com/assan/5.1/public/component-card-icon.html)
16:16:09	8550/8550	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2005%20Mar%202021%2018:22:30%20GMT	https://uigator.com/assan/5.1/public/assets/img/partners/spotify.svg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/partners/spotify.svg	(from https://uigator.com/assan/5.1/public/component-clients.html)
16:16:09	437217/437217	---MCZ	200	added ('OK')	application/javascript	etag:%226abe1-vEpzK6oDVBtW+TRmep9yLrmBnAc%22	https://unpkg.com/filepond@4.30.4/dist/filepond.js	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/unpkg.com/filepond@4.30.4/dist/filepond.js	(from https://uigator.com/assan/5.1/public/page-profile-settings.html)
16:16:09	33499/33499	---MCZ	200	added ('OK')	text/css	etag:%22e61fd47b8b7aa7fb33188e97fd162d6d%22	https://api.mapbox.com/mapbox-gl-js/v2.1.1/mapbox-gl.css	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/api.mapbox.com/mapbox-gl-js/v2.1.1/mapbox-gl.css	(from https://uigator.com/assan/5.1/public/page-contact-us-2.html)
16:16:11	121296/121296	---M--	200	added ('OK')	font/woff2	date:Sun,%2013%20Nov%202022%2016:44:34%20GMT	https://uigator.com/assan/5.1/public/assets/fonts/bootstrap-icons/fonts/bootstrap-icons.woff2?24e3eb84d0bcaf83d77f904c78ac1f47	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/fonts/bootstrap-icons/fonts/bootstrap-iconsbf04.woff2	(from https://uigator.com/assan/5.1/public/assets/fonts/bootstrap-icons/bootstrap-icons.css)
16:16:13	1097/1097	---M--	404	error ('Not%20Found')	image/jpeg	date:Thu,%2006%20Jul%202023%2015:16:14%20GMT	https://img.youtube.com/vi/V_romThfA0I/maxresdefault.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/img.youtube.com/vi/V_romThfA0I/maxresdefault.jpg	(from https://uigator.com/assan/5.1/public/component-lightbox.html)
